CaliberID,Name,UserDefined,Diameter
ee16d8b0-762e-4fc4-b838-5d6c0657c199,32 Winchester Special,0,0.308
ba5e9808-8ddd-4d0d-9b87-eb76553c5372,32-40 Winchester,0,0.308
614df91b-73a7-4622-9cc4-0a5dbec43f7e,8 x 57mm Mauser,0,0.323
2b0a3c6a-f3f7-4f4d-9603-f90aea053a85,325 Winchester Short Magnum,0,0.323
0e680606-0203-468e-8137-19bfe60e239f,8mm Remington Magnum,0,0.323
1aba4569-ef6c-49ba-a423-c00c4b835d5e,338 Marlin Express,0,0.338
06112105-1196-4b43-b2a6-3a6ba94bf4e4,338 Federal,0,0.338
573edf4a-549d-495a-8f34-3131bb5bc33a,338-06,0,0.338
324eb95d-76a9-4274-a272-e6e4c9060a3f,338 Ruger Compact Magnum,0,0.338
31cff8b7-9833-4587-bf74-9b74bf7029f2,33 Nosler,0,0.338
2fa15955-75b1-4961-a327-d0b16bee22c6,338 Winchester Magnum,0,0.338
2ea98fb7-2f09-4eb8-aa46-6404adf82b75,340 Weatherby Magnum,0,0.338
273c8cb3-9ae4-45e5-9edc-01834d03732f,338 Lapua Magnum,0,0.338
553b8ba0-6e08-4c22-b0fa-b0c3449f5250,338 Remington Ultra Mag,0,0.338
908a56c2-98a2-42c4-a40f-31f9fb935137,338-378 Weatherby Magnum,0,0.338
08c78c92-668e-4537-83f8-680648e71105,348 Winchester,0,0.348
accebcaf-25e1-44d0-a0c0-dccd8f288b16,350 Legend,0,0.358
9d097f48-54a7-4caa-8266-27a03ddd6c7b,356 Winchester,0,0.358
497557e9-6810-4e74-a377-ef59494f9a2b,358 Winchester,0,0.358
57366068-14b5-4417-b2a0-47f3dbac71cb,35 Whelen,0,0.358
65ceb133-9202-433e-b34a-4198fbb1d769,350 Remington Magnum,0,0.358
82cbea03-34b8-456a-998c-e3c7fb74261c,358 Norma Magnum,0,0.358
66119709-c819-402a-b852-519fa3ff13ab,358 Shooting Times Alaskan,0,0.358
a9f52245-872d-4042-9523-850adf3c22bb,9.3 x 62,0,0.366
1a97ae6d-a215-487e-b539-a5fffb1cfba1,9.3 x 74R,0,0.366
55f0728d-0e99-4896-80e8-ba677a30fad3,375 Winchester,0,0.375
8114f7b0-2b7b-4105-8210-62e52c3616df,376 STEYR,0,0.375
79485711-60a4-493b-8581-369be5307cd1,375 H & H Magnum,0,0.375
1fdc2e3a-ed02-481a-88a3-3537a383090c,375 Ruger,0,0.375
5b7ff26e-5253-460d-a31d-be66c41bb623,375 Weatherby Magnum,0,0.375
fbdad64e-f4ec-4be4-b474-0119d0ce7068,375 Remington Ultra Mag,0,0.375
f18708a3-7e78-4a66-a50e-9afbed254bfa,378 Weatherby Magnum,0,0.375
e37810ff-55d1-4d13-9a57-c05b67145e75,416 Remington Magnum,0,0.416
6f71ed9a-9d15-4e97-af30-672a73e1ca27,416 Rigby,0,0.416
9cdedb7b-bdab-4d48-808f-fdb54027ef22,416 Weatherby Magnum,0,0.416
1b62bd7b-24cd-434b-a08c-6006e46f8522,444 Marlin,0,0.429
de6d96ed-0998-4f44-b797-79a69548fd9b,450 Bushmaster,0,0.452
576e6435-e494-41ed-827c-85ceb078b9bd,WWG 457 Mag,0,0.458
5822e934-0c47-466f-9239-cfd6bdb3fb61,45-70 Government (Modern Rifles)*,0,0.458
0d0d05f7-ffd3-4a44-a538-27bd7978bab6,450 Marlin,0,0.458
c2c1fd24-6bac-446b-8d75-41c21483cc59,45-120 Sharps,0,0.458
4dd2e778-6a60-4804-90a8-422b970cec22,458 Winchester Magnum,0,0.458
db03e5cf-0cf4-470d-85ad-2d8fbd94f99c,460 Weatherby Magnum,0,0.458
dba8c594-dbb4-48cc-ae47-bb79b4109680,470 Nitro Express,0,0.474
41c5ab4a-2f7d-402d-80cb-59bd05c703e6,50 Alaskan,0,0.510
fd26fe35-f6f2-4045-a956-719427887e66,500 CYRUS,0,0.510
19d8892e-9727-41cc-b59c-8867a578a7f0,50-140 Sharps,0,0.510
32083952-6365-4ead-af19-0d652bcdfa47,500 Nitro Express 3&quot;,0,0.510
8fed3008-dec9-4b68-a819-2401c11f90c6,50 Browning Machine Gun,0,0.510
4c14b0a0-ab25-4b24-8f6b-d3b8573e9ac9,221 Fireball,0,0.224
0213baf3-ac0b-41bf-9898-e32a50ce2eaa,223 Remington,0,0.224
3b6dbc13-327d-40be-8094-f10802c28f79,6mm TCU,0,0.243
ae18957c-3ed3-413d-8e92-ee71894a8754,6mm-204 RR,0,0.243
f31e62bc-483b-45bb-93ab-95e26291643b,25 ACP,0,0.257
b8db0386-292f-41f4-ad25-450a3ea1176f,256 Winchester,0,0.257
4fc9f5cf-cdb5-428a-b862-9228b6083e3b,7mm BR Remington,0,0.284
c8ce34b8-ca45-47a0-b8ea-debed5c716dd,7mm IHMSA,0,0.284
3b7b5820-1d4f-455a-a4a4-734f5ec7c452,7mm-08 Remington,0,0.284
02758a2b-3351-40ff-9e4f-0a253e81ab91,30 Carbine,0,0.308
592026d5-c9c8-4f84-866b-671fe1702fae,30 Herrett,0,0.308
271683f0-3057-4529-9851-d3c9ccc7608b,30-30 Winchester,0,0.308
644a6e89-3694-4d06-8d3c-4e052aa53f9f,308 Winchester,0,0.308
8a86e814-bc1a-4376-a65b-6bf3a6857cd0,32 H&R Magnum,0,0.327
f15f4207-8aab-4038-b1b7-660123e2fb62,32-20 Winchester,0,0.327
5526695b-6f01-44b8-ba86-7b93d88baf39,327 Federal Magnum,0,0.327
f5c5af25-deef-4cd2-be0b-b239b5a0501a,45-70 Government,0,0.458
